Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-08-22,14.99974,14.99974,14.69997,14.83004,3790
2016-08-23,14.99974,15.37064,14.69997,15.37064,1860
2016-08-24,15.18062,15.18062,14.98958,14.99974,1878
2016-08-25,15.29951,16.19984,15.29951,15.95088,9238
2016-08-26,16.12972,16.18968,15.65009,16.10025,3865
2016-08-29,16.18968,16.18968,15.91023,16.09009,19517
2016-08-30,16.10025,16.50063,15.74967,16.38072,4624
2016-08-31,15.73037,16.6998,15.62062,16.17952,8587
2016-09-01,16.61952,16.61952,16.39088,16.39901,3123
2016-09-02,16.44982,16.44982,16.1094,16.35023,306
2016-09-05,16.39901,16.92031,16.35023,16.50063,14943
2016-09-06,16.8695,17.49038,16.84917,17.47006,42370
2016-09-07,17.47006,17.70073,17.38063,17.47006,7743
2016-09-08,17.60013,17.60013,17.25056,17.47006,9746
2016-09-09,17.43957,17.47006,17.14996,17.45989,12302
2016-09-12,17.45989,17.47006,17.39994,17.39994,1792
2016-09-13,17.41925,17.41925,17.39079,17.39079,1877
2016-09-14,17.39079,17.39994,17.39079,17.39079,2075
2016-09-15,17.42941,17.83994,17.42941,17.69057,6441
2016-09-16,17.83994,18.0005,17.50054,17.8999,12576
2016-09-19,17.50054,18.48013,17.50054,17.8999,4484
2016-09-20,17.88974,17.88974,17.50054,17.64992,6000
2016-09-21,17.71089,17.71089,16.8004,17.39994,199012
2016-09-22,17.39994,17.87957,17.14996,17.49038,41099
2016-09-23,17.85925,17.85925,17.25056,17.49038,4183
2016-09-26,17.49038,17.49038,17.44973,17.49038,4860
2016-09-27,17.49038,17.49038,17.29934,17.29934,899
2016-09-28,17.49038,17.49038,17.49038,17.49038,4402
2016-09-29,17.49038,17.49038,17.19975,17.49038,1461
2016-09-30,17.49038,17.49038,17.19975,17.39994,1507
2016-10-03,17.39994,17.39994,17.31966,17.39079,1432
2016-10-04,17.35015,17.39079,17.35015,17.39079,813
2016-10-05,17.39079,17.39079,17.29934,17.39079,588
2016-10-06,17.20992,17.35015,17.20992,17.35015,241
2016-10-07,17.35015,17.49038,17.20992,17.48022,9872
2016-10-10,17.49038,17.49038,17.44973,17.49038,5678
2016-10-11,17.49038,17.49038,17.47006,17.49038,8666
2016-10-12,17.49038,17.49038,17.47006,17.47006,1581
2016-10-13,17.45989,17.49038,17.00973,17.00973,7925
2016-10-14,17.28003,17.28003,16.99957,17.14996,354
2016-10-17,17.14996,17.29934,17.14996,17.29934,791
2016-10-18,17.29934,17.29934,16.60021,17.26072,4341
2016-10-19,17.28003,17.45989,17.19975,17.45989,2572
2016-10-20,17.49038,17.49038,17.42941,17.49038,5902
2016-10-21,17.49038,17.49038,17.44973,17.44973,5139
2016-10-24,17.44973,17.44973,17.39994,17.44973,4890
2016-10-25,17.44973,17.44973,16.99957,16.99957,7994
2016-10-26,17.41925,17.41925,16.82072,17.14996,14359
2016-10-27,17.19975,17.19975,16.81056,16.88982,14890
2016-10-28,17.49038,17.49038,16.89998,16.89998,23317
2016-10-31,17.50969,17.50969,16.89998,17.49038,746
2016-11-02,17.49038,17.49038,17.05038,17.43957,608
2016-11-03,17.43957,17.43957,17.11033,17.39994,229
2016-11-04,17.50054,18.10008,17.50054,17.5605,11244
2016-11-07,17.53001,17.80031,17.41925,17.69057,2980
2016-11-08,17.99034,17.99034,17.42941,17.64992,379
2016-11-09,17.25056,17.60013,17.25056,17.60013,7840
2016-11-10,17.55033,18.45981,17.55033,18.25048,13791
2016-11-14,18.69048,19.52984,18.69048,19.19958,35143
2016-11-15,19.40993,19.87026,18.80023,18.89981,17127
2016-11-16,19.23007,19.25039,19.1,19.25039,5279
2016-11-17,19.25039,19.25039,18.89981,18.89981,6843
